26 Jan 2019 | 15:08:32,215 | INFO  | main | testing.scan.BindingTest |     | ===== Start test BindingTest =====
26 Jan 2019 | 15:08:32,290 | DEBUG | main | tvd12.reflections.Reflections |     | going to scan these urls:
file:/Users/tavandung12/Documents/tvd12/java/projects/ezyfox/ezyfox-binding/target/test-classes/
26 Jan 2019 | 15:08:32,540 | INFO  | main | tvd12.reflections.Reflections |     | Reflections took 246 ms to scan 1 urls, producing 6 keys and 6 values 
26 Jan 2019 | 15:08:32,549 | DEBUG | main | tvd12.reflections.Reflections |     | expanded subtype com.tvd12.ezyfox.binding.EzyReader -> com.tvd12.ezyfox.binding.EzyTemplate
26 Jan 2019 | 15:08:32,549 | DEBUG | main | tvd12.reflections.Reflections |     | expanded subtype com.tvd12.ezyfox.binding.EzyWriter -> com.tvd12.ezyfox.binding.EzyTemplate
26 Jan 2019 | 15:08:32,590 | DEBUG | main | tvd12.reflections.Reflections |     | going to scan these urls:
file:/Users/tavandung12/Documents/tvd12/java/projects/ezyfox/ezyfox-binding/target/test-classes/
26 Jan 2019 | 15:08:32,603 | INFO  | main | tvd12.reflections.Reflections |     | Reflections took 13 ms to scan 1 urls, producing 4 keys and 4 values 
26 Jan 2019 | 15:08:32,604 | DEBUG | main | tvd12.reflections.Reflections |     | expanded subtype java.lang.Comparable -> java.lang.Enum
26 Jan 2019 | 15:08:32,604 | DEBUG | main | tvd12.reflections.Reflections |     | expanded subtype java.io.Serializable -> java.lang.Enum
26 Jan 2019 | 15:08:32,608 | DEBUG | main | tvd12.reflections.Reflections |     | going to scan these urls:
file:/Users/tavandung12/Documents/tvd12/java/projects/ezyfox/ezyfox-binding/target/test-classes/
26 Jan 2019 | 15:08:32,622 | INFO  | main | tvd12.reflections.Reflections |     | Reflections took 12 ms to scan 1 urls, producing 4 keys and 4 values 
26 Jan 2019 | 15:08:32,622 | DEBUG | main | tvd12.reflections.Reflections |     | expanded subtype java.lang.Comparable -> java.lang.Enum
26 Jan 2019 | 15:08:32,623 | DEBUG | main | tvd12.reflections.Reflections |     | expanded subtype java.io.Serializable -> java.lang.Enum
26 Jan 2019 | 15:08:32,625 | DEBUG | main | tvd12.reflections.Reflections |     | going to scan these urls:
file:/Users/tavandung12/Documents/tvd12/java/projects/ezyfox/ezyfox-binding/target/test-classes/
26 Jan 2019 | 15:08:32,634 | INFO  | main | tvd12.reflections.Reflections |     | Reflections took 8 ms to scan 1 urls, producing 4 keys and 4 values 
26 Jan 2019 | 15:08:32,637 | DEBUG | main | tvd12.reflections.Reflections |     | expanded subtype java.lang.Comparable -> java.lang.Enum
26 Jan 2019 | 15:08:32,637 | DEBUG | main | tvd12.reflections.Reflections |     | expanded subtype java.io.Serializable -> java.lang.Enum
26 Jan 2019 | 15:08:32,732 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB
26 Jan 2019 | 15:08:32,767 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field type
26 Jan 2019 | 15:08:32,771 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:32,772 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:32,772 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB
26 Jan 2019 | 15:08:33,029 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB$EzyObjectWriter$EzyAutoImpl$1 has generated
26 Jan 2019 | 15:08:33,038 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB
26 Jan 2019 | 15:08:33,040 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field type
26 Jan 2019 | 15:08:33,041 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,041 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,041 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB
26 Jan 2019 | 15:08:33,057 | DEBUG | main | binding.impl.EzyObjectReaderBuilder |     | class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB$EzyObjectReader$EzyAutoImpl$1 has generated
26 Jan 2019 | 15:08:33,059 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB
26 Jan 2019 | 15:08:33,060 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field type
26 Jan 2019 | 15:08:33,060 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,060 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,061 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB
26 Jan 2019 | 15:08:33,067 | DEBUG | main | binding.impl.EzyObjectUnwrapperBuilder |     | class com.tvd12.ezyfox.binding.testing.scan.pack1.ClassB$EzyObjectUnwrapper$EzyAutoImpl$1 has generated
26 Jan 2019 | 15:08:33,262 | INFO  | main | testing.scan.BindingTest |     | ===== Finish test BindingTest, Time elapsed = 1042 =====
26 Jan 2019 | 15:08:33,275 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.Point
26 Jan 2019 | 15:08:33,278 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field z
26 Jan 2019 | 15:08:33,282 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field a1
26 Jan 2019 | 15:08:33,283 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field point
26 Jan 2019 | 15:08:33,284 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data
26 Jan 2019 | 15:08:33,284 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data1
26 Jan 2019 | 15:08:33,285 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field date
26 Jan 2019 | 15:08:33,285 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field localDate
26 Jan 2019 | 15:08:33,286 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field localDateTime
26 Jan 2019 | 15:08:33,286 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field clazz
26 Jan 2019 | 15:08:33,286 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,287 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,293 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field x
26 Jan 2019 | 15:08:33,298 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field y
26 Jan 2019 | 15:08:33,299 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,299 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,303 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan method getB
26 Jan 2019 | 15:08:33,304 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan method getXY
26 Jan 2019 | 15:08:33,304 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.Point
26 Jan 2019 | 15:08:33,361 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.ezyfox.binding.testing.Point$EzyObjectWriter$EzyAutoImpl$2 has generated
26 Jan 2019 | 15:08:33,363 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.Point
26 Jan 2019 | 15:08:33,364 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field z
26 Jan 2019 | 15:08:33,371 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field a1
26 Jan 2019 | 15:08:33,372 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field point
26 Jan 2019 | 15:08:33,373 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field data
26 Jan 2019 | 15:08:33,374 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field data1
26 Jan 2019 | 15:08:33,374 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field date
26 Jan 2019 | 15:08:33,374 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field localDate
26 Jan 2019 | 15:08:33,378 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field localDateTime
26 Jan 2019 | 15:08:33,379 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field clazz
26 Jan 2019 | 15:08:33,379 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,379 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,380 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field x
26 Jan 2019 | 15:08:33,380 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field y
26 Jan 2019 | 15:08:33,380 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,381 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,381 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.Point
